source	accession	volume	family	title	element	h_cm	w_cm	l_cm	d_cm	diam_cm	n1_cm	n2_cm	n3_cm	weight_g	raw
cma	1918.336	core	plucked_strings	Guitar	Overall						29.2				Overall: 29.2 cm (11 1/2 in.)
cma	1918.341	core	plucked_strings	Lyre Guitar or Lirachitara	Overall						32.7	78.1			Overall: 32.7 x 78.1 cm (12 7/8 x 30 3/4 in.)
cma	1918.379	core	plucked_strings	Lyre Guitar	Overall						76.9	33.4			Overall: 76.9 x 33.4 cm (30 1/4 x 13 1/8 in.)
cma	1918.358	core	plucked_strings	Guitar	Diameter						39.8				Diameter: 39.8 cm (15 11/16 in.); Overall: 95 cm (37 3/8 in.)
cma	1918.358	core	plucked_strings	Guitar	Overall						95.0				Diameter: 39.8 cm (15 11/16 in.); Overall: 95 cm (37 3/8 in.)
cma	1918.348	core	plucked_strings	Sanxian (Three-Stringed Guitar)	Diameter						14.4				Diameter: 14.4 cm (5 11/16 in.); Overall: 82.6 cm (32 1/2 in.)
cma	1918.348	core	plucked_strings	Sanxian (Three-Stringed Guitar)	Overall						82.6				Diameter: 14.4 cm (5 11/16 in.); Overall: 82.6 cm (32 1/2 in.)
cma	1918.374.a	core	plucked_strings	Guitar	Overall						96.8				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
cma	1918.374.a	core	plucked_strings	Guitar	Widest end						21.0				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
cma	1991.59.a	core	plucked_strings	Singing Guitarist (recto)	Sheet						33.9	21.5			Sheet: 33.9 x 21.5 cm (13 3/8 x 8 7/16 in.)
cma	1918.374.b	core	plucked_strings	Guitar (plectrum)	Overall						96.8				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
cma	1918.374.b	core	plucked_strings	Guitar (plectrum)	Widest end						21.0				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
cma	1997.223	core	plucked_strings	Guitar Player	Sheet						44.5	30.6			Sheet: 44.5 x 30.6 cm (17 1/2 x 12 1/16 in.); Platemark: 28.1 x 21.5 cm (11 1/16 x 8 7/16 in.)
cma	1997.223	core	plucked_strings	Guitar Player	Platemark						28.1	21.5			Sheet: 44.5 x 30.6 cm (17 1/2 x 12 1/16 in.); Platemark: 28.1 x 21.5 cm (11 1/16 x 8 7/16 in.)
cma	1921.913	core	plucked_strings	Portrait of a Woman with a Guitar, called Louise D'Aumont, M	Framed						8.7	7.3			Framed: 8.7 x 7.3 cm (3 7/16 x 2 7/8 in.); Unframed: 7.5 x 6.1 cm (2 15/16 x 2 3/8 in.)
cma	1921.913	core	plucked_strings	Portrait of a Woman with a Guitar, called Louise D'Aumont, M	Unframed						7.5	6.1			Framed: 8.7 x 7.3 cm (3 7/16 x 2 7/8 in.); Unframed: 7.5 x 6.1 cm (2 15/16 x 2 3/8 in.)
cma	1918.369	core	plucked_strings	Liuxian Pipa (Six-String Pipa)	Overall						100.4	31.5			Overall: 100.4 x 31.5 cm (39 1/2 x 12 3/8 in.)
cma	2020.216	arch	screens_fonts	Muse with Violin Screen	Overall						156.2	156.2			Overall: 156.2 x 156.2 cm (61 1/2 x 61 1/2 in.)
cma	2018.25	core	bowed_strings	Violin Player with a Wine Glass	Overall						80.4	67.1			80.4 x 67.1 cm (31 5/8 x 26 7/16 in.)
cma	1943.562	core	bowed_strings	Violin Player Seated in the Inn	Platemark						28.1	25.0			Platemark: 28.1 x 25 cm (11 1/16 x 9 13/16 in.); Sheet: 29.6 x 26.1 cm (11 5/8 x 10 1/4 in.)
cma	1943.562	core	bowed_strings	Violin Player Seated in the Inn	Sheet						29.6	26.1			Platemark: 28.1 x 25 cm (11 1/16 x 9 13/16 in.); Sheet: 29.6 x 26.1 cm (11 5/8 x 10 1/4 in.)
cma	1942.1133	core	bowed_strings	The Violin Player	Unframed						79.0	53.3			Unframed: 79 x 53.3 cm (31 1/8 x 21 in.)
cma	2013.47	core	bowed_strings	Portrait of Violinist Jean Vidal (1789–1867)	Image						75.4	54.1			Image: 75.4 x 54.1 cm (29 11/16 x 21 5/16 in.); Sheet with border: 91.5 x 64.4 cm (36 x 25 3/8 in.)
cma	2013.47	core	bowed_strings	Portrait of Violinist Jean Vidal (1789–1867)	Sheet with border						91.5	64.4			Image: 75.4 x 54.1 cm (29 11/16 x 21 5/16 in.); Sheet with border: 91.5 x 64.4 cm (36 x 25 3/8 in.)
cma	1918.378	core	wheel_and_keys	Vielle à roue	Overall						74.0	33.0			Overall: 74 x 33 cm (29 1/8 x 13 in.)
cma	1918.354	core	wheel_and_keys	Vielle à roue	Overall						73.7	33.0			Overall: 73.7 x 33 cm (29 x 13 in.)
cma	1918.356	core	harps_zithers	Figurative harp (domu or kundi)	Overall						63.6				Overall: 63.6 cm (25 1/16 in.)
cma	1929.344	core	harps_zithers	Figurative harp (domu or kundi)	Handle						36.9				Handle: 36.9 cm (14 1/2 in.); Drum: 18.2 cm (7 3/16 in.)
cma	1929.344	core	harps_zithers	Figurative harp (domu or kundi)	Drum						18.2				Handle: 36.9 cm (14 1/2 in.); Drum: 18.2 cm (7 3/16 in.)
cma	1931.450	core	harps_zithers	Harpist	Overall						32.1				Overall: 32.1 cm (12 5/8 in.)
cma	1997.189	core	harps_zithers	David Playing the Harp before Saul	Sheet						33.4	47.9			Sheet: 33.4 x 47.9 cm (13 1/8 x 18 7/8 in.)
cma	1918.363	core	harps_zithers	Harp	Overall						125.8	61.6			Overall: 125.8 x 61.6 cm (49 1/2 x 24 1/4 in.)
cma	1918.357	core	harps_zithers	Harp	Overall						63.6				Overall: 63.6 cm (25 1/16 in.)
cma	1997.39	core	harps_zithers	A Man Playing a Harp with other Figures beside a Lake	Sheet						19.7	26.8			Sheet: 19.7 x 26.8 cm (7 3/4 x 10 9/16 in.)
cma	1945.169.b	core	leaves_illumination	Royal Reception in a Landscape, right folio from the double 	Image						26.3	20.7			Image: 26.3 x 20.7 cm (10 3/8 x 8 1/8 in.); Overall: 32.5 x 22.1 cm (12 13/16 x 8 11/16 in.)
cma	1945.169.b	core	leaves_illumination	Royal Reception in a Landscape, right folio from the double 	Overall						32.5	22.1			Image: 26.3 x 20.7 cm (10 3/8 x 8 1/8 in.); Overall: 32.5 x 22.1 cm (12 13/16 x 8 11/16 in.)
cma	1918.366	core	harps_zithers	Harp	Overall						164.5	80.7			Overall: 164.5 x 80.7 cm (64 3/4 x 31 3/4 in.)
cma	2003.174	core	bindings_codices	Adjoining Leaves from a Book of Hours: Penitential Psalms an	Each leaf						11.2	6.4			Each leaf: 11.2 x 6.4 cm (4 7/16 x 2 1/2 in.)
cma	1969.200	core	shields	Two Guineas: James II (obverse); Four Shields of Arms (rever	Diameter						3.7				Diameter: 3.7 cm (1 7/16 in.)
cma	2008.2.214.b	core	harps_zithers	Fol. 214v, Psalm 1, historiated initial 8, David harping	Overall						35.6	24.2			Overall: 35.6 x 24.2 cm (14 x 9 1/2 in.)
cma	1918.345	thief	ewers_plate	Psaltery	Overall						59.8	15.0			Overall: 59.8 x 15 cm (23 9/16 x 5 7/8 in.)
cma	2011.50	thief	ewers_plate	"Initial ""B"" (eatus Vir) from a Choir Psalter"	Leaf						19.7	19.1			Leaf: 19.7 x 19.1 cm (7 3/4 x 7 1/2 in.)
